fecha,cantidad,laboratorio,porcentaje
23/12/2020,9750,Pfizer,0.14
30/12/2020,11700,Pfizer,0.30
5/1/2021,33150,Pfizer,0.77
12/1/2021,33150,Pfizer,1.23
19/1/2021,16575,Pfizer,1.46
16/2/2021,79560,Pfizer,2.58
23/2/2021,92430,Pfizer,3.88
2/3/2021,109980,Pfizer,5.42
9/3/2021,86580,Pfizer,6.63
16/3/2021,84240,Pfizer,7.81
23/3/2021,119340,Pfizer,9.48 
30/3/2021,73710,Pfizer,
5/4/2021,115830,Pfizer,
13/4/2021,113490,Pfizer,
7/4/2021,43200,AstraZeneca,
19/4/2021,118170,Pfizer,
27/4/2021,117000,Pfizer,
4/5/2021,124020,Pfizer,
11/5/2021,124020,Pfizer,
13/5/2021,88800,AstraZeneca,
19/5/2021,174330,Pfizer,
23/5/2021,204000,AstraZeneca,
25/5/2021,175500,Pfizer,
3/6/2021,75652,Pfizer,
6/6/2021,204000,AstraZeneca,
10/6/2021,79560,Pfizer,
17/6/2021,80730,Pfizer,
24/6/2021,40950,Pfizer,
24/6/2021,80730,Pfizer,
1/7/2021,80730,Pfizer,
8/7/2021,52650,Pfizer,
13/7/2021,500000,Pfizer,
15/7/2021,79560,Pfizer,
22/07/2021,250380,Pfizer,
29/07/2021,163200,AstraZeneca,
29/07/2021,319410,Pfizer,
05/08/2021,198900,Pfizer,
12/08/2021,234000,Pfizer,
19/08/2021,243360,Pfizer,
27/08/2021,223470,Pfizer,
01/09/2021,204000,AstraZeneca,
02/09/2021,171990,Pfizer,
03/09/2021,319200,Donacion(Canada),
05/09/2021,69600,Donacion(Espana),
05/09/2021,86400,AstraZeneca,
09/09/2021,146250,Pfizer,
16/09/2021,157950,Pfizer,
24/09/2021,134550,Pfizer,
30/09/2021,142740,Pfizer,
02/10/2021,50000,Donacion(Austria),
07/10/2021,107640,Pfizer,
14/10/2021,108810,Pfizer,
15/10/2021,56800,Donacion(Republica Dominicana),
21/10/2021,107510,Pfizer,
21/10/2021,130,Donacion(Pfizer),
28/10/2021,105300,Pfizer,
